Id_Buku,Isbn,Judul_Buku,Penulis,Tahun_Publikasi,Total_Ratings,Rataan_Rating,Jumlah_Halaman,Jumlah_Review,Kode_Bahasa,Format_Buku,Ebook,Penerbit
7410,691003548,A Monetary History of the United States 1867-1960,"[Milton Friedman, Anna Jacobson Schwartz]",1971,334,4.03,888,8,,paper,FALSE,Princeton University Press
7411,340593601,"Imperial Germany 1867-1918: Politics, Culture, and Society in an Authoritarian State","[Wolfgang J. Mommsen, Richard Deveson]",2009,4,3,320,1,,Paperback,FALSE,Bloomsbury Academic
7412,195168747,Creating the Twentieth Century: Technical Innovations of 1867-1914 and Their Lasting Impact,[Vaclav Smil],2005,71,4.16,350,7,,Hardcover,FALSE,"Oxford University Press, USA"
7413,1571688390,Cheyenne: 1867 to 1903: A Biography of the Magic City of the Plains,[Bill O'Neal],2006,1,3,398,0,,Paperback,FALSE,Eakin Press
7414,226015068,"When Buildings Speak: Architecture as Language in the Habsburg Empire and Its Aftermath, 1867-1933",[Anthony Alofsin],2006,7,3.75,300,1,,Hardcover,FALSE,University of Chicago Press
7415,300062907,"The Shaping of America: A Geographical Perspective on 500 Years of History: Volume 2: Continental America, 1800-1867",[D.W. Meinig],1995,26,4.19,636,2,eng,Paperback,FALSE,Yale University Press
7416,226279332,"Industrial Reformation of English Fiction: Social Discourse and Narrative Form, 1832-1867",[Catherine Gallagher],1988,1,3.92,320,0,,Paperback,FALSE,University of Chicago Press
7417,691003637,"From New Deal Banking Reform to World War II Inflation. Reprinted from the Author's Monetary History of the United States, 1867-1960","[Milton Friedman, A. Schwartz]",1980,1,1,174,0,,Paperback,FALSE,
7418,2080110772,Paris: 500 Photos,"[Maurice Subervie, Bertrand Delanoe]",2003,13,4.57,468,3,,Paperback,FALSE,Flammarion
7420,879757450,The Basic Bakunin,"[Mikhail Bakunin, Robert M. Cutler]",1992,97,3.74,248,3,eng,Paperback,FALSE,Prometheus Books
7421,486257045,A Victorian Housebuilder's Guide: Woodward's National Architect of 1869,"[George E. Woodward, Edward G. Thompson]",2016,13,4,160,1,,Paperback,FALSE,Dover Publications
7422,520240588,"Berlioz: Servitude and Greatness, 1832-1869 (Volume 2)",[David Cairns],2003,3,4.27,907,0,en-US,Paperback,FALSE,University of California Press
7423,786714425,"The Gold Ring: Jim Fisk, Jay Gould, and Black Friday, 1869",[Kenneth D. Ackerman],2005,41,3.97,352,7,,Paperback,FALSE,Da Capo Press
7424,786413808,"The Negro Leagues, 1869-1960",[Leslie A. Heaphy],2002,2,5,383,0,,Hardcover,FALSE,McFarland & Company
7425,1882391322,"Swiss Magazine Loading Rifles 1869 to 1958, 2nd edition, revised","[Joe Poyer, Craig Riesch]",,6,4.57,235,1,,,FALSE,
7426,813101611,"Black Southerners, 1619-1869",[John B. Boles],1984,18,3.39,256,2,,Paperback,FALSE,University Press of Kentucky
7427,486445712,"Mendeleev on the Periodic Law: Selected Writings, 1869 - 1905","[Dmitri Mendeleev, William B. Jensen]",2005,12,4,320,1,,Paperback,FALSE,Dover Publications
7428,700614621,"Conceiving a New Republic: The Republican Party and the Southern Question, 1869-1900 (American Political Thought)",[Charles W. Calhoun],2006,5,3,347,1,,Hardcover,FALSE,University Press of Kansas
7429,080711006X,Retreat from Reconstruction: 1869-1879,[William Gillette],1982,11,3.73,480,0,,Paperback,FALSE,Louisiana State University Press
7430,805077812,The Nubian Prince,"[Juan Bonilla, Esther Allen]",2006,61,3.55,258,10,en-US,Hardcover,FALSE,Metropolitan Books
7431,719566223,"Maisie Dobbs (Maisie Dobbs, #1)",[Jacqueline Winspear],,167,3.92,292,20,en-GB,,FALSE,John Murray
