,Id_Buku,Isbn,Judul_Buku,Penulis,Tahun_Publikasi,Total_Ratings,Rataan_Rating,Jumlah_Halaman,Jumlah_Review,Format_Buku,Ebook,Penerbit,Jumlah_Penulis
125,166,932863051,Dalit: The Black Untaouchables of India,"['V.T. Rajshekar', 'Y.N. Kly']",1995,9,4.33,100,0,Paperback,False,Clarity Press,2
126,167,521553628,"The Untouchables: Subordination, Poverty and the State in Modern India (Contemporary South Asia, #4)","['Oliver Mendelsohn', 'Marika Vicziany']",2006,4,3.75,308,0,Hardcover,False,Cambridge University Press,2
127,168,742508803,Growing Up Untouchable in India: A Dalit Autobiography,"['Vasant Moon', 'Gail Omvedt', 'Eleanor Zelliot']",2000,16,3.58,224,4,Hardcover,False,Rowman & Littlefield Publishers,3
128,170,195171713,The Book of Evidence,['Peter Achinstein'],2003,11,3.91,304,2,Paperback,False,Oxford University Press,1
129,171,205358624,The Evidence-Based Social Work Skills Book,['Barry R. Cournoyer'],2003,10,3.4,216,0,Paperback,False,Pearson,1
130,177,1557344035,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom","['John Carratello', 'Patty Carratello', 'Theresa Wright']",1991,16,4.06,48,0,Paperback,False,Teacher Created Resources,3
131,180,380720442,Wrinkles in Time,"['George Smoot', 'Keay Davidson']",1994,1000,4.0,360,23,Paperback,False,Harper Perennial,2
132,181,821925326,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),"[""Madeleine L'Engle""]",2002,37,4.01,250,6,Hardcover,False,EMC/Paradigm Publishing,1
133,182,043927169X,Literature Circle Guide: A Wrinkle in Time,['Tara MacCarthy'],2002,14,3.57,32,0,Paperback,False,Teaching Resources,1
134,183,2266081594,Un raccourci dans le temps,"[""Madeleine L'Engle""]",1997,30,4.01,254,8,Paperback,False,Pocket,1
135,184,738817538,Empress in the Wrinkle of Time: The Knight-King Chronicle,['Valerie Metcalf Estoye'],2000,4,4.25,508,0,Paperback,False,Xlibris Corporation,1
136,192,1566440114,A Wrinkle in Time: L-I-T Guide,"['Charlotte S. Jaffe', 'Barbara Doherty']",1997,53,3.92,40,3,Paperback,False,Educational Impressions,2
137,197,1561371181,A Wrinkle in Time: Teacher Guide,"['Anne Troy', 'Phyllis  Green']",1998,12,4.19,32,0,Paperback,False,Novel Units,2
138,198,1580490794,A Wrinkle in Time: Teaching Unit,['James      Scott'],1997,10,4.2,53,0,Paperback,False,Prestwick House,1
140,204,751506435,"The Long Shadow (The Morland Dynasty, #6)",['Cynthia Harrod-Eagles'],1994,368,4.12,367,16,Paperback,False,"Little, Brown Book Group",1
141,205,006078671X,"A Long Shadow (Inspector Ian Rutledge, #8)",['Charles Todd'],2006,2986,4.11,352,231,Hardcover,False,William Morrow,1
142,206,742548686,Vicksburg's Long Shadow: The Civil War Legacy of Race and Remembrance,['Christopher Waldrep'],2005,12,3.58,344,3,Hardcover,False,Rowman & Littlefield Publishers,1
143,207,743499344,Long Way Round: Chasing Shadows Across the World,"['Ewan McGregor', 'Charley Boorman', 'Robert Uhlig']",2005,349,3.94,320,44,Paperback,False,Atria Books,3
144,208,765313405,"A Shadow in Summer (Long Price Quartet, #1)",['Daniel Abraham'],2006,9653,3.6,331,612,Hardcover,False,Tor Books,1
145,213,1400032490,New Hope for the Dead (Hoke Mosely #2),"['Charles Willeford', 'James Lee Burke']",2004,782,3.91,244,72,Paperback,False,Vintage Crime/Black Lizard,2
146,214,1400032482,Sideswipe: A Hoke Moseley Novel,"['Charles Willeford', 'Lawrence Block']",2005,703,4.04,215,68,Paperback,False,Vintage Crime/Black Lizard,2
