,Tweets
107,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
108,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
109,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
110,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
111,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
112,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
113,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
114,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
115,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
116,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
117,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
118,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
119,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
120,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
121,"RT @AKDkrisna: Efek #matilampu 9 jam dan baru nyala semalem, udara pagi Jakarta lebih bersih dan lebih dingin.. Pada berasa nggak? #terimak…"
122,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
123,"RT @cindydranbla: Rafathar mati lampu ngungsi ke Singapore.
Raditya dika mati lampu ngungsi kehotel.
Lah aku mati lampu ngungsi ke indomare…"
124,"RT @AKDkrisna: Efek #matilampu 9 jam dan baru nyala semalem, udara pagi Jakarta lebih bersih dan lebih dingin.. Pada berasa nggak? #terimak…"
125,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
126,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
127,"Orang orang jkt, banten, dan jabar pada heboh gara gara #matilampulagi #matilampu 🙄

Kasiaan bangett yaa. Biasain d… https://t.co/rGleYduHn9"
128,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
129,RT @MrMarcoww: Pas mati lampu gue tidur trus mimpi lagi mati lampu 😑😑😑 #matilampu #matilistrik #matilampulagi
130,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
131,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
132,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
133,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
134,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
135,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
136,"RT @Avatarrbiru: Baru mati beberapa jam aj ributnya minta ampun. Maen2 ke sini.....😅
#matilampulagi #PLNDown #matilampu https://t.co/i5kwOi…"
137,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
138,"RT @deanlynx: Renungan gaes...
#matilampu
#matilampulagi 
#jakartablackout 
#PLNDown https://t.co/cnGJvWbNBG"
139,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
140,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
141,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
142,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
143,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
144,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
145,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
146,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
147,"RT @kachaww_: Mengatasi polusi di jakarta :
Menggunakan kendaraan umum ❌
Mengurangi konsumsi plastik❌
Menanam tumbuhan lidah mertua❌
Mati l…"
148,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
149,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
150,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
151,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
152,"RT @opiekasep: dua minggu lalu tmn sya curhat ttg tagihan @PLNID_ per-bulan bsa smpe 3jtaan, dan ga pernah telat bayar! yg paling nyedot it…"
153,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
154,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
155,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
156,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
157,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
158,"Due to the #matilampu and #matilampulagi two days ago, I’ve lost one koi fish and my KH3 CRITICAL MODE SAVE FILE SO… https://t.co/SqFQ17qMbI"
159,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
160,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
161,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
162,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
163,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
164,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
165,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
166,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
167,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
168,"RT @opiekasep: dua minggu lalu tmn sya curhat ttg tagihan @PLNID_ per-bulan bsa smpe 3jtaan, dan ga pernah telat bayar! yg paling nyedot it…"
169,"RT @Jurnal19_BTV: #MatiLampu #MatiLampuJakarta jadi #trendingtopic, setelah Jabodetabek sempat mengalami #matilampulagi lebih dari 10 jam,…"
170,"Ohh iyaa kemarin kan jkrta MATI LAMPU, ada yg di perkosa ngga?🤣 #matilampulagi #matilampu https://t.co/mCIqwNpOvR"
171,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
172,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
173,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
174,"RT @ArdiansyahN18: #matilampu #matilampulagi PT PLN 

Source FP: Sanguan Nasional Indonesia https://t.co/uFEWnPcZZq"
175,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
176,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
177,"RT @kachaww_: Mengatasi polusi di jakarta :
Menggunakan kendaraan umum ❌
Mengurangi konsumsi plastik❌
Menanam tumbuhan lidah mertua❌
Mati l…"
178,Plt dirut @pln_123 kok plonga plongo sih. Emang lagi jamannya ya para pemimpin itu plonga plongo. #ilc @ILCtv1… https://t.co/EyJ7hgtHmw
179,@pln_123 seringin mati lampu aja @pln_123 biar manusia pada inget gelap mana di dunia apa di alam kubur baru mati l… https://t.co/vxZQTPBCAX
180,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
