,Book_Title,Author,Rating,Score,People_Voted
259,"Towers of Midnight (Wheel of Time, #13)",Robert Jordan,4.43,"1,901","and
20 people voted
    "
260,Longbourn,Jo Baker,3.63,"1,892","and
23 people voted
    "
261,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,4.31,"1,891","and
21 people voted
    "
262,Flight Behavior,Barbara Kingsolver,3.78,"1,868","and
22 people voted
    "
263,"The Dream Thieves (The Raven Cycle, #2)",Maggie Stiefvater,4.26,"1,862","and
25 people voted
    "
264,H is for Hawk,Helen Macdonald,3.73,"1,848","and
21 people voted
    "
265,"The Raven King (The Raven Cycle, #4)",Maggie Stiefvater,4.30,"1,845","and
24 people voted
    "
266,"Unravel Me (Shatter Me, #2)",Tahereh Mafi,4.26,"1,837","and
26 people voted
    "
267,All the Bright Places,Jennifer Niven,4.17,"1,832","and
25 people voted
    "
268,"Shadowfever (Fever, #5)",Karen Marie Moning,4.41,"1,829","and
22 people voted
    "
269,The Girl You Left Behind,Jojo Moyes,3.98,"1,811","and
21 people voted
    "
270,"Demonglass (Hex Hall, #2)",Rachel Hawkins,4.11,"1,803","and
22 people voted
    "
271,The Luminaries,Eleanor Catton,3.72,"1,781","and
20 people voted
    "
272,"Born at Midnight (Shadow Falls, #1)",C.C. Hunter,4.12,"1,749","and
20 people voted
    "
273,When Breath Becomes Air,Paul Kalanithi,4.35,"1,736","and
20 people voted
    "
274,Rules of Civility,Amor Towles,4.03,"1,730","and
20 people voted
    "
275,"The Fiery Heart (Bloodlines, #4)",Richelle Mead,4.37,"1,726","and
26 people voted
    "
276,Billy Lynn's Long Halftime Walk,Ben Fountain,3.80,"1,726","and
20 people voted
    "
277,"Only Time Will Tell (The Clifton Chronicles, #1)",Jeffrey Archer,4.07,"1,722","and
20 people voted
    "
278,"Blackout (All Clear, #1)",Connie Willis,3.83,"1,721","and
20 people voted
    "
279,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,4.16,"1,716","and
19 people voted
    "
280,"Destined (House of Night, #9)",P.C. Cast,4.04,"1,706","and
20 people voted
    "
281,"One Summer: America, 1927",Bill Bryson,4.08,"1,679","and
19 people voted
    "
282,Joyland,Stephen King,3.91,"1,671","and
20 people voted
    "
283,"Tommaso (Immortal Matchmakers, Inc. #2)",Mimi Jean Pamfiloff,4.18,"1,645","and
17 people voted
    "
