user,date,text,latitude,longitude
AshDowie,Tue Aug 13 10:34:36 +0000 2019,"The Gentry Visual Identity
Lookbook @ London  United Kingdom https://t.co/LG0TjzhEcF",51.50711486,-0.12731805
RDLMultimediaUK,Tue Aug 13 10:34:31 +0000 2019,Some retail therapy for some upcoming multi-cam shoots in London! First  some editing to start the week!… https://t.co/Gstc6yYUJj,51.50711486,-0.12731805
pium_asdfgh,Tue Aug 13 10:34:07 +0000 2019,Tk @ London  United Kingdom https://t.co/zLEQe9XCdN,51.50711486,-0.12731805
DanaAlow,Tue Aug 13 10:30:38 +0000 2019,I'm at Govent Garden in London  England https://t.co/cHlZA5grpW,51.511953,-0.122631
txmmy22,Tue Aug 13 10:30:14 +0000 2019,🚕 @ London  United Kingdom https://t.co/UAlozXj401,51.50711486,-0.12731805
Ramya152,Tue Aug 13 10:30:06 +0000 2019,"🥂here’s to an evening of friendships!
Friendships that span over a decade  live across continents  but are  in the… https://t.co/nB95IAnnsc",51.50711486,-0.12731805
LittleSensory,Tue Aug 13 10:25:50 +0000 2019,"🎁 Inside the 3-6 month subscription box
.
Did you know that you can join our subscription boxes from 3-6 months? Th… https://t.co/UAs8g41lTk",51.50711486,-0.12731805
empurpler,Tue Aug 13 10:25:09 +0000 2019,Along the #Thames River en route to tatemodernbooks @ London  United Kingdom https://t.co/x4vWNG8uxS,51.50711486,-0.12731805
spencerstage,Tue Aug 13 10:24:57 +0000 2019,"*New Timetable*
.
.
Are you ready for the new term. Go check out the new timetable. 
We listened to your requests a… https://t.co/5sImOXcWR9",51.50711486,-0.12731805
jansonsmusic,Tue Aug 13 10:24:14 +0000 2019,New Acid track 👾 #abl3 #acidhouse #studio @ London  United Kingdom https://t.co/zVdw1HX5B5,51.50711486,-0.12731805
orlandoibrahim,Tue Aug 13 10:23:23 +0000 2019,#orlandodebarber to the World @ London  United Kingdom https://t.co/ZxQWb7bDc3,51.50711486,-0.12731805
soapsmithlondon,Tue Aug 13 10:22:55 +0000 2019,"We love seeing our products being used ❤️

#Repost @leadingladysldn
・・・
📸: Hydration 💙💧💦 using  the gorgeous… https://t.co/5tBh8uSTj7",51.50711486,-0.12731805
craigwilson,Tue Aug 13 10:22:49 +0000 2019,A round an illuminated tunnel between the lanes @ Covent Garden London https://t.co/zjeEQAkdLB,51.51198765,-0.12269497
steveonradio3,Tue Aug 13 10:22:03 +0000 2019,Still enjoying a jaunt here and there. There and here. @ London  United Kingdom https://t.co/GMnYjQaA1O,51.50711486,-0.12731805
SashaSips,Tue Aug 13 10:21:50 +0000 2019,The soreness is kicking in... but the joy  from one of the BEST days of the year is still very much riding HIGH.… https://t.co/EwefjdgQhP,51.50711486,-0.12731805
shalajaponka,Tue Aug 13 10:20:50 +0000 2019,"Teaching this today 4pm covering first meganwestpfel at basedancestudios 

@canonchaps from @beenjamminent will be… https://t.co/M2VN3kAe5p",51.50711486,-0.12731805
tmj_lon_itpm,Tue Aug 13 10:19:11 +0000 2019,Interested in a job in #London  England? This could be a great fit. Click the link in our bio to apply: Manager  St… https://t.co/RqUTwSTFqU,51.5073509,-0.1277583
LizzieNobrega,Tue Aug 13 10:17:25 +0000 2019,"""Sometimes the most important thing in a whole day is the rest we take between two deep breaths. "" - Etty Hillesum… https://t.co/rCCG6QPILT",51.50711486,-0.12731805
AinhoaCalvo,Tue Aug 13 10:14:27 +0000 2019,Firts day 🌦️💂🏼‍♀️ en London  United Kingdom https://t.co/aLwMPL89d5,51.50711486,-0.12731805
AndrewLochhead,Tue Aug 13 10:13:08 +0000 2019,Tuesday’s are okay for throwbacks right? When I was in London last  I woke up super early so I could explore Kensal… https://t.co/aiax52FZ1M,51.50711486,-0.12731805
MasterclassCID,Tue Aug 13 10:12:48 +0000 2019,"“What you think  you become”
#TuesdayMotivation #TheMasterclass #MadeForMore #RELENTLESS #itsliverpool #18Sep2019
L… https://t.co/Kc1gIG8ScO",51.50711486,-0.12731805
SWTailoring,Tue Aug 13 10:12:32 +0000 2019,Beautiful #bespoke #smartcasual #tailored #shirt. £150.00.  https://t.co/rfcv5k5Qxs.   #limitededition #italian… https://t.co/SbxINCGOU7,51.50711486,-0.12731805
JoelleDFontaine,Tue Aug 13 10:12:09 +0000 2019,My bitch is in @sixthemusical ya mad yet? 😏 That time @cherellejay came to eat my class alive....that’s all… https://t.co/XIyO0vL3b9,51.50711486,-0.12731805
WooBoom,Tue Aug 13 10:05:46 +0000 2019,"Celebrating 30 unbroken years 

ALL DAYER at the iconic Heaven (Under The Arches) / Charring Cross. 

4 rooms | Cla… https://t.co/c0yfhPkaUN",51.50803479,-0.1240984
stevewest60,Tue Aug 13 10:05:06 +0000 2019,Meat free Monday #upyourbun Shortribs @ London  United Kingdom https://t.co/1jNoxvtmq9,51.50711486,-0.12731805
meekhan4,Tue Aug 13 10:04:57 +0000 2019,We move 🔊🔊🔊✈️✈️✈️ 🇬🇧 The RETURN of a KING 🤴🏽 SMADE &amp; LIVENATION present The Afrobeats Legend D’Banj @iamdbanj feat… https://t.co/ICd7loMtSR,51.50711486,-0.12731805
NikIntanRashid,Tue Aug 13 10:04:52 +0000 2019,The tourists. 😁 #londonbound #mambotakeslondon #3Mek #mamboandpappi @ St James's Park https://t.co/VrFal6i7aq,51.50166667,-0.13194444
Pairsonnalites,Tue Aug 13 10:04:33 +0000 2019,What straight people need to know about going to gay bars: As a gay person  knowing my straight friends want to com… https://t.co/1gOo1XYgUY,51.50413561,-0.13608912
Pairsonnalites,Tue Aug 13 10:04:33 +0000 2019,Anti-gay hate crimes in Birmingham double amid protests over LGBTQ lessons: A total of 395 homophobic hate crimes w… https://t.co/vDORl9on9l,51.50413561,-0.13608912
Pairsonnalites,Tue Aug 13 10:04:33 +0000 2019,Anti-LGBT NRA Supporting Tomi Lahren Delivers Insane New Claim: Gun Rights Are Gay Rights: Tomi Lahren is aligning… https://t.co/x5Mt6vpERD,51.50413561,-0.13608912
Pairsonnalites,Tue Aug 13 10:04:32 +0000 2019,Voices like Celtic captain Scott Brown can help silence ignorant homophobic morons: Some of reaction to the Hoops c… https://t.co/nupShSieK7,51.50413561,-0.13608912
TheOnlyVinegar,Tue Aug 13 10:03:33 +0000 2019,"HYENAS!!! Nothing like a good ole cackle with my mate @thebiancadelrio 
•
•
•
•
#laugh #fun #comedy #goodtimes… https://t.co/1bASwAcPzT",51.50711486,-0.12731805
